letter,response
A,nontarget
A,lure
A,target
F,nontarget
F,lure
D,target
D,lure
B,nontarget
B,lure
F,nontarget
F,lure
C,nontarget
C,lure
C,target
E,nontarget
E,lure
E,target
A,nontarget
A,lure
A,target
D,nontarget
A,target
A,lure
B,nontarget
B,lure
B,target
B,target
F,nontarget
F,lure
F,target
E,nontarget
F,target
E,target
E,lure
A,nontarget
C,nontarget
C,lure
C,target
D,nontarget
D,lure
D,target
D,target
C,nontarget
C,lure
C,target
A,nontarget
A,lure
A,target
B,nontarget
B,lure
F,nontarget
F,lure
F,target
E,nontarget
E,lure
E,target
D,nontarget
E,target
D,target
D,lure
A,nontarget
A,lure
A,target
C,nontarget
C,lure
C,target
F,nontarget
F,lure
F,target
E,nontarget
E,lure
D,nontarget
D,lure
B,nontarget
B,lure
B,target
B,target
C,lure
E,nontarget
E,lure
E,target
F,nontarget
F,lure
B,nontarget
F,target
B,target
B,lure
F,nontarget
F,lure
F,target
C,nontarget
D,nontarget
D,lure
E,nontarget
E,lure
C,nontarget
E,target
C,target
C,lure
B,nontarget
C,target
B,target
B,lure
A,nontarget
A,lure
A,target
A,target
D,nontarget
D,lure
D,target
D,target
A,nontarget
A,lure
B,lure
E,nontarget
E,lure
E,target
C,nontarget
C,lure
B,nontarget
B,lure
B,target
D,nontarget
D,lure
A,nontarget
A,lure
D,nontarget
D,lure
D,target
D,target
F,nontarget
F,lure
B,nontarget
F,target
B,target
F,target
F,lure
C,nontarget
C,lure
C,target
C,target
A,nontarget
A,lure
A,target
F,nontarget
A,target
E,nontarget
E,lure
E,target
B,target
D,target
D,lure
E,nontarget
D,target
E,target
E,lure
C,nontarget
E,target
C,target
C,lure
E,nontarget
E,lure
D,nontarget
D,lure
A,nontarget
A,lure
D,nontarget
A,target
F,nontarget
A,target
A,lure
B,nontarget
B,lure
B,target
F,nontarget
F,lure
A,nontarget
F,target
F,lure
F,target
B,nontarget
B,lure
C,nontarget
C,lure
C,target
D,lure
A,nontarget
A,lure
B,nontarget
A,target
B,target
B,lure
D,nontarget
D,lure
D,target
D,target
B,nontarget
B,lure
B,target
F,nontarget
E,nontarget
E,lure
E,target
C,nontarget
C,lure
C,target
E,nontarget
C,target
E,target
E,lure
F,nontarget
F,lure
F,target
D,nontarget
F,target
F,lure
A,nontarget
A,lure
A,target
C,nontarget
C,lure
B,target
B,lure
F,nontarget
F,lure
F,target
F,target
A,nontarget
A,lure
E,nontarget
A,target
A,lure
A,target
E,nontarget
E,lure
B,nontarget
E,target
B,target
E,target
E,lure
B,nontarget
B,lure
C,nontarget
C,lure
D,nontarget
D,lure
C,nontarget
D,target
C,target
C,lure
C,target
D,nontarget
A,nontarget
D,target
D,lure
F,nontarget
F,lure
D,target
F,nontarget
F,lure
F,target
C,nontarget
F,target
C,target
C,lure
F,nontarget
F,lure
D,nontarget
D,lure
A,nontarget
A,lure
A,target
C,nontarget
A,target
C,target
C,lure
E,nontarget
E,lure
E,target
B,nontarget
B,lure
D,nontarget
B,target
D,target
D,lure
A,nontarget
A,lure
B,nontarget
B,lure
B,target
E,nontarget
E,lure
E,target
B,lure
E,nontarget
E,lure
B,nontarget
E,target
B,target
A,nontarget
A,lure
A,target
F,nontarget
F,lure
F,target
C,nontarget
C,lure
A,nontarget
A,lure
A,target
E,nontarget
E,lure
B,nontarget
E,target
B,target
B,lure
D,nontarget
D,lure
D,target
D,target
F,nontarget
F,lure
C,nontarget
F,target
C,target
C,lure
C,target
D,nontarget
D,lure
F,lure
A,nontarget
F,target
A,target
A,lure
F,nontarget
F,lure
F,target
A,nontarget
A,lure
C,nontarget
A,target
C,target
C,lure
E,nontarget
E,lure
E,target
D,nontarget
E,target
D,target
D,lure
C,nontarget
C,lure
F,nontarget
C,target
B,nontarget
B,lure
B,target
B,target
E,nontarget
E,lure
B,nontarget
B,lure
D,nontarget
D,lure
D,target
F,lure
F,target
A,nontarget
A,lure
A,target
F,nontarget
E,nontarget
F,target
E,target
E,lure
E,target
B,nontarget
B,lure
A,nontarget
B,target
A,target
A,lure
F,nontarget
F,lure
E,nontarget
E,lure
D,nontarget
D,lure
C,nontarget
D,target
C,target
C,lure
B,nontarget
B,lure
B,target
D,nontarget
D,lure
C,nontarget
D,target
C,target
C,lure
B,target
A,target
A,lure
D,nontarget
D,lure
D,target
B,nontarget
B,lure
C,nontarget
C,lure
E,nontarget
E,lure
E,target
F,nontarget
A,nontarget
A,lure
E,nontarget
A,target
E,target
E,lure
F,nontarget
F,lure
F,target
A,nontarget
F,target
F,lure
D,nontarget
D,lure
D,target
C,nontarget
C,lure
C,target
B,nontarget
C,target
B,target
B,lure
A,nontarget
C,target
A,target
C,target
C,lure
F,nontarget
F,lure
F,target
D,nontarget
F,target
D,target
D,lure
D,target
C,nontarget
C,lure
F,nontarget
F,lure
B,nontarget
B,lure
B,target
E,nontarget
E,lure
B,nontarget
E,target
B,target
B,lure
E,nontarget
E,lure
E,target
D,nontarget
D,lure
A,nontarget
A,lure
C,nontarget
A,target
A,lure
B,target
A,target
B,target
E,nontarget
E,lure
E,target
C,nontarget
C,lure
D,nontarget
C,target
D,target
D,lure
B,nontarget
B,lure
D,nontarget
D,lure
D,target
F,nontarget
F,lure
C,nontarget
C,lure
C,target
A,nontarget
A,lure
B,nontarget
B,lure
E,nontarget
E,lure
F,nontarget
E,target
F,target
F,lure
A,nontarget
F,target
A,target
A,lure
E,lure
B,nontarget
B,lure
A,nontarget
B,target
A,target
A,lure
A,target
B,nontarget
B,lure
E,nontarget
B,target
E,target
C,nontarget
C,lure
D,nontarget
D,lure
D,target
C,nontarget
D,target
C,target
C,lure
C,target
E,nontarget
E,lure
F,nontarget
E,target
F,target
F,lure
F,target
D,nontarget
D,lure
A,nontarget
A,lure
F,nontarget
F,lure
C,target
E,nontarget
E,lure
E,target
E,target
A,nontarget
A,lure
B,nontarget
B,lure
C,nontarget
C,lure
D,nontarget
D,lure
B,nontarget
D,target
B,target
B,lure
B,target
E,nontarget
E,lure
C,nontarget
C,lure
C,target
A,nontarget
A,lure
A,target
F,nontarget
A,target
F,target
F,lure
D,nontarget
D,lure
D,target
F,nontarget
F,lure
F,target
C,target
F,target
F,lure
A,nontarget
A,lure
E,nontarget
A,target
E,target
E,lure
B,nontarget
E,target
B,target
B,lure
D,nontarget
D,lure
D,target
A,nontarget
A,lure
F,nontarget
A,target
F,target
E,nontarget
E,lure
B,nontarget
B,lure
B,target
C,nontarget
C,lure
F,nontarget
F,lure
C,nontarget
C,lure
C,target
D,nontarget
D,lure
D,target
A,target
E,target
A,target
A,lure
D,nontarget
F,nontarget
D,target
D,lure
B,nontarget
B,lure
C,nontarget
C,lure
C,target
E,nontarget
C,target
E,target
E,lure
B,nontarget
B,lure
B,target
D,nontarget
B,target
D,target
D,lure
A,nontarget
A,lure
C,nontarget
C,lure
F,nontarget
F,lure
F,target
A,nontarget
F,target
F,lure
E,nontarget
E,lure
A,nontarget
A,lure
E,nontarget
E,lure
E,target
D,nontarget
D,lure
B,nontarget
D,target
B,target
B,lure
F,nontarget
F,lure
A,nontarget
F,target
A,target
A,lure
C,nontarget
A,target
C,target
C,lure
D,nontarget
D,lure
E,nontarget
D,target
E,target
E,lure
F,nontarget
F,lure
F,target
B,nontarget
B,lure
B,target
C,nontarget
C,lure
C,target
A,target
E,target
C,nontarget
C,lure
D,nontarget
D,lure
B,nontarget
D,target
D,lure
D,target
B,nontarget
B,lure
D,nontarget
B,target
B,lure
B,target
A,nontarget
A,lure
A,target
F,nontarget
F,lure
F,target
C,nontarget
C,lure
C,target
C,target
E,nontarget
E,lure
F,nontarget
F,lure
F,target
E,nontarget
E,lure
E,target
A,nontarget
A,lure
E,target
C,target
C,lure
F,nontarget
C,target
C,lure
F,nontarget
F,lure
F,target
C,nontarget
F,target
F,lure
E,nontarget
E,lure
A,nontarget
E,target
A,target
A,lure
C,nontarget
A,target
A,lure
B,nontarget
B,lure
D,nontarget
B,target
D,target
B,target
B,lure
D,nontarget
D,lure
A,nontarget
D,target
D,lure
B,nontarget
E,nontarget
E,lure
E,lure
A,nontarget
A,lure
A,target
E,nontarget
A,target
A,lure
F,nontarget
F,lure
A,nontarget
F,target
F,lure
C,nontarget
C,lure
C,target
C,target
B,nontarget
B,lure
D,nontarget
D,lure
E,nontarget
E,lure
E,target
E,target
B,nontarget
B,lure
F,nontarget
B,target
F,target
B,target
D,nontarget
D,lure
D,target
D,target
C,nontarget
C,lure
A,lure
F,nontarget
F,lure
F,target
B,nontarget
B,lure
D,nontarget
D,lure
D,target
A,nontarget
D,target
C,nontarget
C,lure
D,nontarget
D,lure
E,nontarget
E,lure
E,target
B,nontarget
B,lure
B,target
A,nontarget
B,target
A,target
A,lure
C,nontarget
A,target
C,target
C,lure
E,nontarget
C,target
E,target
E,lure
F,nontarget
F,lure
F,target
E,lure
C,nontarget
E,target
C,target
C,lure
E,nontarget
C,target
C,lure
D,nontarget
D,lure
A,nontarget
A,lure
A,target
D,nontarget
D,lure
D,target
E,nontarget
D,target
E,target
E,lure
A,nontarget
B,nontarget
A,target
A,lure
F,nontarget
F,lure
B,nontarget
F,target
B,target
B,lure
C,nontarget
B,target
B,lure
F,nontarget
F,lure
F,target
F,target
E,target
E,lure
C,nontarget
E,target
A,nontarget
A,lure
A,target
D,nontarget
A,target
A,lure
F,nontarget
F,lure
C,nontarget
C,lure
A,nontarget
C,target
C,lure
D,nontarget
C,target
D,target
D,lure
E,nontarget
D,target
D,lure
B,nontarget
B,lure
F,nontarget
F,lure
B,nontarget
F,target
B,target
B,lure
B,target
E,nontarget
E,lure
C,lure
E,nontarget
E,lure
E,target
A,nontarget
A,lure
F,nontarget
A,target
F,target
F,lure
F,target
C,nontarget
B,nontarget
C,target
B,target
B,lure
D,nontarget
B,target
D,target
D,lure
D,target
A,nontarget
A,lure
A,target
B,nontarget
B,lure
D,nontarget
D,lure
C,nontarget
C,lure
C,target
F,nontarget
F,lure
E,nontarget
E,lure
E,target
E,nontarget
E,lure
E,target
E,target
C,nontarget
C,lure
B,nontarget
B,lure
B,target
A,nontarget
A,lure
A,target
E,nontarget
E,lure
D,nontarget
D,lure
D,target
D,target
A,nontarget
A,lure
A,target
F,nontarget
F,lure
C,nontarget
C,lure
C,target
B,nontarget
C,target
B,target
B,lure
D,nontarget
D,lure
F,nontarget
F,lure
F,target
F,target
F,target
F,lure
B,nontarget
B,lure
C,nontarget
B,target
C,target
C,lure
D,nontarget
D,lure
D,target
C,nontarget
C,lure
E,nontarget
C,target
E,target
E,lure
A,nontarget
E,target
E,lure
A,nontarget
A,lure
F,nontarget
A,target
A,lure
A,target
E,nontarget
B,nontarget
B,lure
D,nontarget
B,target
D,target
D,lure
F,nontarget
F,lure
F,target
E,lure
D,nontarget
D,lure
D,target
F,nontarget
F,lure
C,nontarget
C,lure
F,nontarget
F,lure
F,target
E,nontarget
F,target
E,target
E,lure
A,nontarget
A,lure
D,nontarget
D,lure
D,target
B,nontarget
B,lure
B,target
C,nontarget
B,target
C,target
C,lure
C,target
A,nontarget
A,lure
E,nontarget
A,target
E,target
A,target
B,nontarget
B,lure
D,target
F,target
F,lure
F,target
B,nontarget
B,lure
C,nontarget
C,lure
C,target
D,nontarget
D,lure
E,nontarget
E,lure
E,target
D,nontarget
D,lure
D,target
C,nontarget
C,lure
A,nontarget
C,target
A,target
A,lure
E,nontarget
A,target
E,target
E,lure
B,nontarget
B,lure
B,target
F,nontarget
B,target
A,nontarget
A,lure
F,nontarget
F,lure
D,target
C,target
D,target
D,lure
A,nontarget
A,lure
D,nontarget
D,lure
F,nontarget
F,lure
F,target
C,nontarget
C,lure
B,nontarget
B,lure
B,target
E,nontarget
E,lure
A,nontarget
A,lure
D,nontarget
A,target
C,nontarget
A,target
C,target
C,lure
F,nontarget
F,lure
F,target
B,nontarget
B,lure
E,nontarget
B,target
E,target
E,lure
E,target
F,lure
F,target
E,nontarget
E,lure
C,nontarget
C,lure
B,nontarget
B,lure
B,target
C,nontarget
B,target
C,target
C,lure
A,nontarget
C,target
A,target
A,lure
E,nontarget
A,target
E,target
E,lure
E,target
B,nontarget
B,lure
F,nontarget
F,lure
F,target
D,nontarget
D,lure
D,target
F,nontarget
D,target
A,nontarget
A,lure
D,nontarget
D,lure
D,lure
C,nontarget
D,target
E,nontarget
D,target
E,target
E,lure
F,nontarget
F,lure
F,target
F,target
B,nontarget
B,lure
D,nontarget
B,target
B,lure
E,nontarget
B,target
E,target
E,lure
A,nontarget
A,lure
A,target
F,nontarget
F,lure
D,nontarget
D,lure
C,nontarget
C,lure
B,nontarget
C,target
C,lure
A,nontarget
C,target
A,target
A,lure
D,target
D,lure
B,nontarget
B,lure
B,target
F,nontarget
F,lure
C,nontarget
C,lure
E,nontarget
C,target
C,lure
F,nontarget
C,target
F,target
F,lure
F,target
D,nontarget
D,lure
A,nontarget
D,target
A,target
A,lure
C,nontarget
E,nontarget
E,lure
E,target
D,nontarget
E,target
E,lure
A,nontarget
A,lure
A,target
B,nontarget
B,lure
B,target
C,nontarget
C,lure
A,nontarget
A,lure
D,nontarget
D,lure
C,nontarget
D,target
C,target
C,lure
F,nontarget
C,target
F,target
F,lure
F,target
B,nontarget
B,lure
F,nontarget
F,lure
E,nontarget
E,lure
D,nontarget
D,lure
D,target
B,nontarget
B,lure
B,target
A,nontarget
B,target
A,target
A,lure
A,target
E,nontarget
E,lure
E,target
E,target
C,lure
A,nontarget
A,lure
B,nontarget
A,target
B,target
B,lure
F,nontarget
B,target
F,target
F,lure
D,nontarget
D,lure
D,target
C,nontarget
C,lure
C,target
C,target
B,nontarget
B,lure
E,nontarget
E,lure
E,target
F,nontarget
E,target
F,target
F,lure
A,nontarget
A,lure
A,target
E,nontarget
E,lure
D,nontarget
D,lure
D,target
C,nontarget
B,target
B,lure
B,target
E,nontarget
C,nontarget
C,lure
C,target
A,nontarget
A,lure
A,target
A,target
D,nontarget
D,lure
D,target
E,nontarget
E,lure
B,nontarget
E,target
E,lure
E,target
C,nontarget
C,lure
C,target
A,nontarget
A,lure
F,nontarget
F,lure
D,nontarget
F,target
D,target
D,lure
B,nontarget
B,lure
F,nontarget
F,lure
F,target
C,target
A,target
A,lure
E,nontarget
E,lure
E,target
E,target
B,nontarget
B,lure
D,nontarget
B,target
B,lure
A,nontarget
B,target
A,target
F,nontarget
F,lure
F,target
C,nontarget
C,lure
C,target
E,nontarget
E,lure
F,nontarget
F,lure
F,target
C,nontarget
C,lure
A,nontarget
A,lure
D,nontarget
D,lure
B,nontarget
D,target
D,lure
D,target
E,lure
B,nontarget
E,target
B,target
B,lure
B,target
D,nontarget
D,lure
A,nontarget
A,lure
D,nontarget
D,lure
D,target
D,target
E,nontarget
C,nontarget
C,lure
C,target
A,nontarget
C,target
A,target
A,lure
E,nontarget
A,target
E,target
E,lure
F,nontarget
F,lure
F,target
C,nontarget
C,lure
B,nontarget
B,lure
F,nontarget
F,lure
F,target
E,target
E,lure
A,nontarget
A,lure
A,target
B,nontarget
B,lure
B,target
E,nontarget
B,target
C,nontarget
C,lure
D,nontarget
C,target
D,target
D,lure
F,nontarget
F,lure
E,nontarget
E,lure
E,target
B,nontarget
B,lure
A,nontarget
A,lure
A,target
C,nontarget
C,lure
C,target
D,nontarget
D,lure
F,nontarget
D,target
F,target
F,lure
F,target
A,target
B,target
A,target
A,lure
B,nontarget
B,lure
E,nontarget
E,lure
E,target
C,nontarget
C,lure
C,target
C,target
A,nontarget
B,nontarget
B,lure
B,target
F,nontarget
F,lure
F,target
F,target
D,nontarget
D,lure
D,target
D,target
C,nontarget
C,lure
F,nontarget
F,lure
D,nontarget
D,lure
A,nontarget
A,lure
E,nontarget
E,lure
E,target
A,target
C,target
C,lure
A,nontarget
A,lure
E,nontarget
E,lure
D,nontarget
E,target
D,target
D,lure
E,nontarget
E,lure
E,target
B,nontarget
B,lure
C,nontarget
B,target
B,lure
A,nontarget
A,lure
A,target
B,nontarget
F,nontarget
B,target
F,target
F,lure
C,nontarget
F,target
C,target
C,lure
D,nontarget
D,lure
D,target
F,nontarget
F,lure
C,target
D,target
D,lure
E,nontarget
E,lure
E,target
D,nontarget
E,target
A,nontarget
A,lure
F,nontarget
F,lure
F,target
C,nontarget
C,lure
A,nontarget
C,target
A,target
A,lure
A,target
F,nontarget
F,lure
F,target
C,nontarget
C,lure
E,nontarget
E,lure
B,nontarget
B,lure
D,nontarget
D,lure
D,target
B,nontarget
B,lure
B,target
B,target
A,nontarget
A,lure
D,nontarget
D,lure
D,target
F,nontarget
F,lure
A,nontarget
A,lure
A,target
C,nontarget
A,target
C,target
C,lure
B,nontarget
C,target
B,target
B,lure
C,nontarget
C,lure
E,nontarget
E,lure
D,nontarget
E,target
D,target
D,lure
E,nontarget
E,lure
B,nontarget
E,target
B,target
B,lure
F,nontarget
F,lure
F,target
F,target
C,lure
F,nontarget
F,lure
B,nontarget
F,target
B,target
B,lure
A,nontarget
A,lure
A,target
D,nontarget
D,lure
D,target
E,nontarget
E,lure
C,nontarget
C,lure
C,target
A,nontarget
A,lure
A,target
C,nontarget
E,nontarget
C,target
E,target
E,lure
E,target
F,nontarget
F,lure
B,nontarget
F,target
B,target
B,lure
D,nontarget
D,lure
D,target
D,target
D,lure
C,nontarget
C,lure
C,target
C,target
B,nontarget
B,lure
E,nontarget
B,target
E,target
E,lure
F,nontarget
E,target
F,target
F,lure
E,nontarget
E,lure
D,nontarget
F,nontarget
D,target
F,target
F,lure
A,nontarget
A,lure
B,nontarget
A,target
B,target
B,lure
A,nontarget
A,lure
A,target
C,nontarget
C,lure
D,nontarget
D,lure
D,lure
C,nontarget
C,lure
B,nontarget
B,lure
B,target
B,target
A,nontarget
A,lure
E,nontarget
E,lure
A,nontarget
A,lure
A,target
C,nontarget
A,target
C,target
C,lure
C,target
D,nontarget
D,lure
F,nontarget
D,target
E,nontarget
D,target
E,target
E,lure
F,nontarget
E,target
F,target
F,lure
D,nontarget
F,target
F,lure
B,nontarget
B,lure
D,lure
C,nontarget
D,target
C,target
C,lure
D,nontarget
D,lure
D,target
F,nontarget
F,lure
B,nontarget
B,lure
A,nontarget
A,lure
E,nontarget
E,lure
E,target
E,target
A,nontarget
A,lure
A,target
A,target
F,nontarget
D,nontarget
F,target
F,lure
B,nontarget
F,target
B,target
B,lure
B,target
E,nontarget
E,lure
C,nontarget
C,lure
C,target
C,lure
C,target
D,nontarget
D,lure
C,nontarget
D,target
C,target
D,target
D,lure
B,nontarget
B,lure
A,nontarget
F,nontarget
F,lure
F,target
C,nontarget
C,lure
E,nontarget
E,lure
B,nontarget
E,target
B,target
B,lure
F,nontarget
B,target
F,target
F,lure
E,nontarget
E,lure
A,nontarget
E,target
A,target
A,lure
D,nontarget
A,target
A,lure
A,target
A,lure
C,nontarget
C,lure
D,nontarget
C,target
C,lure
C,target
F,nontarget
F,lure
D,nontarget
D,lure
D,target
B,nontarget
D,target
D,lure
E,nontarget
E,lure
C,nontarget
E,target
F,nontarget
F,lure
F,target
F,target
A,nontarget
A,lure
A,target
B,nontarget
B,lure
A,nontarget
B,target
B,lure
E,nontarget
B,target
E,target
E,lure
B,target
F,target
F,lure
A,nontarget
A,lure
A,target
F,nontarget
F,lure
F,target
C,nontarget
C,lure
D,nontarget
B,nontarget
B,lure
D,nontarget
D,lure
E,nontarget
D,target
D,lure
A,nontarget
D,target
A,target
A,lure
E,nontarget
E,lure
F,nontarget
E,target
E,lure
E,target
B,nontarget
B,lure
B,target
C,nontarget
C,lure
C,target
C,target
C,target
B,target
B,lure
A,nontarget
A,lure
A,target
A,target
C,nontarget
C,lure
C,target
E,nontarget
E,lure
D,nontarget
D,lure
E,nontarget
E,lure
E,target
E,target
F,nontarget
F,lure
F,target
D,nontarget
F,target
D,target
B,nontarget
D,target
D,lure
A,nontarget
A,lure
F,nontarget
F,lure
C,nontarget
C,lure
B,nontarget
B,lure
B,target
A,lure
C,nontarget
A,target
A,lure
E,nontarget
A,target
E,target
E,lure
E,target
B,nontarget
B,lure
A,nontarget
B,target
B,lure
A,nontarget
D,nontarget
D,lure
F,nontarget
D,target
F,target
F,lure
C,nontarget
C,lure
B,nontarget
C,target
B,target
C,target
C,lure
E,nontarget
E,lure
F,nontarget
F,lure
D,nontarget
F,target
D,target
D,lure
B,target
D,target
B,target
B,lure
A,nontarget
D,nontarget
D,lure
F,nontarget
F,lure
F,target
F,target
C,nontarget
C,lure
A,nontarget
A,lure
E,nontarget
A,target
A,lure
C,nontarget
A,target
C,target
C,lure
E,nontarget
C,target
E,target
E,lure
B,nontarget
E,target
E,lure
D,nontarget
D,lure
D,target
F,nontarget
F,lure
B,nontarget
B,lure
D,lure
A,nontarget
A,lure
D,nontarget
D,lure
D,target
D,target
C,nontarget
C,lure
A,nontarget
C,target
A,target
A,lure
A,target
E,nontarget
E,lure
F,nontarget
F,lure
E,nontarget
F,target
E,target
E,lure
E,target
C,nontarget
C,lure
B,nontarget
C,target
B,target
B,lure
B,target
F,nontarget
F,lure
D,nontarget
F,target
B,nontarget
B,lure
E,lure
F,nontarget
F,lure
E,nontarget
F,target
F,lure
D,nontarget
D,lure
B,nontarget
B,lure
F,nontarget
B,target
F,target
E,nontarget
E,lure
E,target
E,target
A,nontarget
A,lure
A,target
A,target
B,nontarget
B,lure
C,nontarget
B,target
C,target
C,lure
D,nontarget
C,target
D,target
D,lure
D,target
A,nontarget
A,lure
C,nontarget
C,lure
D,target
E,target
E,lure
C,nontarget
E,target
C,target
C,lure
B,nontarget
B,lure
B,target
B,target
F,nontarget
F,lure
E,nontarget
A,nontarget
A,lure
D,nontarget
A,target
A,lure
A,target
B,nontarget
B,lure
C,nontarget
C,lure
C,target
D,nontarget
D,lure
A,nontarget
D,target
D,lure
F,nontarget
F,lure
F,target
F,target
E,nontarget
E,lure
A,target
D,target
D,lure
C,nontarget
C,lure
C,target
B,nontarget
B,lure
C,nontarget
B,target
C,target
C,lure
F,nontarget
F,lure
E,nontarget
E,lure
A,nontarget
A,lure
D,nontarget
A,target
A,lure
E,nontarget
E,lure
E,target
E,target
F,nontarget
F,lure
F,target
F,target
D,nontarget
D,lure
B,nontarget
D,target
B,target
B,lure
A,nontarget
F,target
F,lure
A,nontarget
A,lure
E,nontarget
A,target
E,target
E,lure
B,nontarget
E,target
E,lure
A,nontarget
D,nontarget
A,target
A,lure
C,nontarget
C,lure
C,target
F,nontarget
F,lure
F,target
C,nontarget
C,lure
B,nontarget
C,target
B,target
B,lure
F,nontarget
B,target
B,lure
D,nontarget
D,lure
E,nontarget
D,target
D,lure
D,target
D,target
A,target
A,lure
F,nontarget
F,lure
F,target
F,target
E,nontarget
E,lure
E,target
C,nontarget
C,lure
C,target
B,nontarget
B,lure
B,target
A,nontarget
D,nontarget
D,lure
B,nontarget
B,lure
B,target
E,nontarget
E,lure
E,target
C,nontarget
C,lure
D,nontarget
C,target
D,target
D,lure
A,nontarget
A,lure
A,target
F,nontarget
F,lure
C,target
A,nontarget
A,lure
A,target
A,target
C,nontarget
C,lure
E,nontarget
C,target
C,lure
B,nontarget
B,lure
D,nontarget
B,target
B,lure
B,target
E,nontarget
E,lure
F,nontarget
E,target
F,target
E,target
E,lure
A,nontarget
A,lure
D,nontarget
D,lure
B,nontarget
D,target
D,lure
D,target
F,nontarget
F,lure
C,nontarget
F,target
F,lure
C,target
C,lure
F,nontarget
F,lure
F,target
C,nontarget
C,lure
C,target
A,nontarget
A,lure
D,nontarget
A,target
D,target
D,lure
E,nontarget
B,nontarget
E,target
E,lure
D,nontarget
E,target
D,target
D,lure
B,nontarget
B,lure
B,target
C,nontarget
B,target
B,lure
E,nontarget
E,lure
F,nontarget
F,lure
F,target
A,nontarget
A,lure
A,target
B,lure
C,nontarget
B,target
C,target
C,lure
C,target
E,nontarget
E,lure
E,target
C,nontarget
C,lure
E,nontarget
E,lure
E,target
A,nontarget
A,lure
B,nontarget
A,target
A,lure
A,target
F,nontarget
F,lure
F,target
D,nontarget
D,lure
B,nontarget
D,target
B,target
B,lure
F,nontarget
F,lure
F,target
A,nontarget
D,nontarget
D,lure
D,target
E,target
C,nontarget
C,lure
C,target
C,target
F,nontarget
F,lure
B,nontarget
B,lure
B,target
C,nontarget
C,lure
A,nontarget
A,lure
E,nontarget
E,lure
E,target
D,nontarget
D,lure
F,nontarget
D,target
F,target
F,lure
F,target
D,nontarget
D,lure
D,target
B,nontarget
B,lure
A,nontarget
B,target
A,target
A,lure
A,target
E,nontarget
E,lure
C,lure
C,target
A,nontarget
A,lure
A,target
F,nontarget
F,lure
D,nontarget
F,target
D,target
D,lure
E,nontarget
E,lure
E,target
B,nontarget
B,lure
A,nontarget
A,lure
A,target
C,nontarget
C,lure
F,nontarget
F,lure
D,nontarget
F,target
D,target
D,lure
E,nontarget
E,lure
E,target
B,nontarget
C,nontarget
B,target
C,target
B,target
B,lure
B,nontarget
B,lure
B,target
C,nontarget
C,lure
A,nontarget
A,lure
A,target
A,target
B,nontarget
B,lure
C,nontarget
B,target
C,target
C,lure
E,nontarget
C,target
E,target
E,lure
F,nontarget
F,lure
F,target
D,nontarget
D,lure
E,nontarget
E,lure
E,target
F,nontarget
F,lure
F,target
D,nontarget
D,lure
D,target
D,target
A,nontarget
A,lure
E,target
A,target
A,lure
C,nontarget
C,lure
C,target
A,nontarget
D,nontarget
D,lure
A,nontarget
D,target
A,target
A,lure
B,nontarget
B,lure
D,nontarget
D,lure
D,target
E,nontarget
E,lure
E,target
B,nontarget
B,lure
B,target
B,target
F,nontarget
F,lure
C,nontarget
C,lure
F,nontarget
C,target
F,target
F,lure
F,target
E,nontarget
E,lure
F,target
F,lure
E,nontarget
E,lure
E,target
B,nontarget
B,lure
C,nontarget
A,nontarget
A,lure
E,nontarget
E,lure
E,target
F,nontarget
F,lure
C,nontarget
F,target
C,target
C,lure
D,nontarget
C,target
C,lure
A,nontarget
A,lure
A,target
B,nontarget
A,target
B,target
B,lure
B,target
D,nontarget
D,lure
D,target
F,nontarget
D,target
D,lure
E,target
E,lure
A,nontarget
A,lure
F,nontarget
A,target
F,target
F,lure
B,nontarget
B,lure
B,target
E,nontarget
B,target
D,nontarget
D,lure
D,target
D,target
C,nontarget
C,lure
C,target
C,target
A,nontarget
A,lure
A,target
F,nontarget
F,lure
F,target
C,nontarget
C,lure
B,nontarget
B,lure
E,nontarget
E,lure
E,target
D,nontarget
D,lure
F,target
F,lure
F,target
D,nontarget
D,lure
D,target
D,target
C,nontarget
C,lure
C,target
A,nontarget
C,target
A,target
A,lure
C,nontarget
C,lure
F,nontarget
F,lure
B,nontarget
B,lure
F,nontarget
B,target
E,nontarget
E,lure
E,target
B,nontarget
B,lure
B,target
D,nontarget
D,lure
E,nontarget
E,lure
A,nontarget
E,target
A,target
A,lure
F,lure
F,target
F,target
E,nontarget
E,lure
E,target
E,target
F,nontarget
F,lure
C,nontarget
C,lure
F,nontarget
E,nontarget
E,lure
B,nontarget
B,lure
D,nontarget
D,lure
B,nontarget
D,target
B,target
B,lure
A,nontarget
B,target
A,target
A,lure
D,nontarget
D,lure
D,target
A,nontarget
A,lure
C,nontarget
A,target
C,target
C,lure
C,target
F,target
B,target
B,lure
C,nontarget
B,target
C,target
C,lure
F,nontarget
F,lure
E,nontarget
E,lure
E,target
E,target
A,nontarget
B,nontarget
A,target
A,lure
E,nontarget
E,lure
D,nontarget
D,lure
D,target
B,nontarget
B,lure
D,nontarget
D,lure
D,target
A,nontarget
A,lure
A,target
F,nontarget
F,lure
F,target
C,nontarget
C,lure
C,target
C,lure
C,target
E,nontarget
E,lure
E,target
E,target
F,nontarget
F,lure
A,nontarget
A,lure
A,target
B,nontarget
B,lure
B,target
E,nontarget
E,lure
C,nontarget
C,lure
B,nontarget
B,lure
B,target
F,nontarget
D,nontarget
F,target
F,lure
F,target
